,State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,prcp,tmax
0,AK,2016.0,285.2857142857143,236.7142857142857,39.714285714285715,5.428571428571429,3.4285714285714284,0.0,0.0,88.42857142857143,53.14285714285714,24.142857142857146,0.0,0.5714285714285714,105.71428571428572,0.2857142857142857,150.42857142857142,28.285714285714285,31.12732429476255,42.93196781763326
1,AL,2016.0,278.22222222222223,219.11111111111111,57.5,1.3333333333333333,0.2777777777777778,0.0,0.0,111.44444444444444,54.77777777777778,39.388888888888886,0.0,0.8888888888888888,156.11111111111111,0.5555555555555556,117.33333333333331,3.333333333333333,34.456708009249525,77.35727292403146
2,AR,2016.0,274.72727272727275,242.0,32.36363636363637,0.18181818181818185,0.18181818181818185,0.0,0.0,91.45454545454544,51.72727272727273,33.54545454545455,0.0,2.363636363636364,165.54545454545453,22.363636363636363,84.45454545454545,0.0,37.86759271059003,73.36937665989689
3,AZ,2016.0,363.6923076923077,237.3076923076923,106.53846153846152,16.923076923076927,2.6153846153846154,0.15384615384615385,0.07692307692307693,234.6923076923077,70.61538461538461,45.69230769230769,0.0,2.6153846153846154,192.84615384615384,20.46153846153846,36.769230769230774,111.0,11.473593285825176,73.80154423942102
4,CA,2016.0,351.81481481481484,214.44444444444446,108.77777777777777,22.962962962962962,4.62962962962963,0.4074074074074074,0.1851851851851852,270.75925925925924,82.75925925925925,46.46296296296296,0.0,4.407407407407407,221.27777777777774,0.0,109.98148148148148,16.14814814814815,24.10327640082268,71.03390842897693
5,CO,2016.0,288.125,227.40625,58.0,2.5,0.1875,0.03125,0.0,103.65625,53.84375,35.1875,0.03125,8.59375,195.3125,0.59375,24.6875,58.90625,12.98331817105542,58.004920426914715
6,CT,2016.0,316.125,245.125,60.5,8.5,2.0,0.0,0.0,164.625,70.0,40.25,0.0,11.5,220.0,0.0,84.625,0.0,27.317348861106357,62.37614574187884
7,DE,2016.0,365.33333333333326,276.0,84.33333333333333,4.666666666666667,0.3333333333333333,0.0,0.0,139.66666666666666,65.33333333333333,41.333333333333336,0.0,4.666666666666667,271.3333333333333,0.3333333333333333,89.0,0.0,35.131477272727274,64.98063545150501
8,FL,2016.0,357.0256410256411,313.35897435897436,43.153846153846146,0.4358974358974359,0.07692307692307693,0.0,0.0,95.58974358974359,51.5897435897436,37.12820512820513,0.05128205128205128,1.051282051282051,242.15384615384616,4.871794871794871,97.51282051282051,11.384615384615385,42.608488691069155,83.08545788105795
9,GA,2016.0,286.5625,224.78125,58.34375,2.96875,0.46875,0.0,0.0,129.75,57.90625,38.5,0.0,1.46875,128.8125,4.09375,152.1875,0.0,31.26935970254128,76.72828789093826
10,HI,2016.0,364.0,264.5,21.5,32.25,45.25,0.25,0.25,145.25,77.5,54.25,0.0,14.75,70.25,89.25,184.5,5.25,45.73589264549308,78.86575800484172
11,IA,2016.0,294.7894736842105,233.31578947368425,60.842105263157904,0.5263157894736842,0.10526315789473684,0.0,0.0,97.94736842105264,53.0,34.10526315789474,0.0,0.42105263157894735,88.47368421052632,14.473684210526313,164.73684210526315,26.684210526315788,31.336911019784,60.7300987045034
12,ID,2016.0,324.0,279.0,41.52380952380953,3.1904761904761907,0.2857142857142857,0.0,0.0,104.8095238095238,51.14285714285714,23.619047619047624,0.0,1.1428571428571428,31.380952380952376,20.80952380952381,264.6666666666667,6.0,18.44844221105528,56.691447494720684
13,IL,2016.0,326.77777777777777,274.44444444444446,49.0,3.2592592592592586,0.07407407407407407,0.0,0.0,109.5925925925926,51.88888888888889,32.629629629629626,0.0,3.2592592592592586,199.14814814814812,55.66666666666666,68.1111111111111,0.5925925925925926,30.43177259740014,63.83902840214621
14,IN,2016.0,283.38095238095235,230.952380952381,49.69047619047619,2.6666666666666665,0.047619047619047616,0.023809523809523808,0.0,110.57142857142857,55.61904761904761,33.357142857142854,0.07142857142857142,1.4761904761904765,125.42857142857143,45.73809523809525,109.8095238095238,0.8571428571428571,34.12770485078453,64.03300067908708
15,KS,2016.0,314.8181818181818,284.72727272727275,29.63636363636364,0.3636363636363637,0.09090909090909093,0.0,0.0,104.72727272727272,48.18181818181818,31.90909090909091,0.0,2.9090909090909087,224.54545454545453,0.18181818181818185,43.90909090909091,43.27272727272727,31.156893499459656,69.91077089708764
16,KY,2016.0,314.92857142857144,255.9642857142857,57.25,1.5714285714285714,0.14285714285714285,0.0,0.0,111.71428571428572,56.464285714285715,39.357142857142854,0.03571428571428571,2.071428571428572,198.92857142857144,8.892857142857142,104.17857142857143,0.8214285714285714,36.74391934991819,68.94930617065249
17,LA,2016.0,329.1363636363636,277.3636363636364,50.5,1.2727272727272727,0.0,0.0,0.0,97.36363636363636,53.31818181818182,37.31818181818182,0.0,3.4545454545454546,219.13636363636363,3.4090909090909087,102.6818181818182,0.4545454545454545,51.532609845080096,78.25179968602825
18,MA,2016.0,363.0,320.0,40.615384615384606,2.230769230769231,0.15384615384615385,0.0,0.0,121.07692307692308,51.92307692307693,35.769230769230774,0.0,7.230769230769232,272.0,0.0,83.69230769230771,0.07692307692307693,26.789239241529756,60.79684138931713
19,MD,2016.0,317.5625,239.0625,72.625,5.375,0.4375,0.0625,0.0,130.9375,67.0625,41.1875,0.0625,12.6875,201.6875,0.0,103.0,0.125,32.86484671373859,66.14961339372371
