,State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,prcp,tmax
0,AK,2017.0,267.7142857142857,227.85714285714286,32.42857142857143,4.428571428571429,3.0,0.0,0.0,90.57142857142857,50.714285714285715,22.0,0.8571428571428571,1.4285714285714286,98.57142857142857,0.0,141.28571428571428,25.57142857142857,30.4071223343965,40.333585067288006
1,AL,2017.0,289.0,228.83333333333331,58.88888888888889,1.1666666666666667,0.05555555555555555,0.05555555555555555,0.0,104.66666666666669,54.5,38.16666666666666,0.0,0.1111111111111111,153.44444444444446,10.888888888888891,121.5,3.055555555555556,49.101927436625786,75.94655989253701
2,AR,2017.0,274.6363636363636,226.3636363636364,48.09090909090909,0.18181818181818185,0.0,0.0,0.0,84.0909090909091,53.18181818181818,37.0,0.0,0.8181818181818182,141.54545454545453,0.0,132.27272727272728,0.0,39.176817095333156,73.21337071552678
3,AZ,2017.0,360.8461538461538,219.53846153846158,118.15384615384615,20.153846153846157,2.769230769230769,0.15384615384615385,0.07692307692307693,151.76923076923075,74.38461538461539,47.153846153846146,0.0,1.5384615384615383,193.6923076923077,19.76923076923077,30.76923076923077,115.07692307692308,8.722522074800056,75.03988669905098
4,CA,2017.0,356.0377358490566,203.79245283018867,118.50943396226415,25.20754716981132,6.962264150943396,1.018867924528302,0.2075471698113208,286.6792452830189,88.56603773584905,49.18867924528302,0.0,3.830188679245283,214.0566037735849,0.018867924528301886,120.188679245283,17.943396226415093,27.422403385604614,71.25854448666375
5,CO,2017.0,294.9,219.03333333333333,72.4,3.3666666666666667,0.1,0.0,0.0,97.46666666666668,56.13333333333333,34.833333333333336,0.0,7.2333333333333325,205.96666666666667,0.1,25.1,56.5,14.960778746505971,58.66964470407238
6,CT,2017.0,322.375,271.5,43.875,5.625,1.375,0.0,0.0,151.5,57.0,38.375,0.25,13.125,230.25,0.0,78.375,0.375,33.32724261976817,60.827
7,DE,2017.0,363.66666666666674,284.3333333333333,75.0,4.333333333333333,0.0,0.0,0.0,122.33333333333331,61.0,41.333333333333336,0.0,2.0,248.66666666666663,0.3333333333333333,112.66666666666669,0.0,33.73030923391876,64.87624382207578
8,FL,2017.0,355.3846153846154,307.0,47.282051282051285,1.1025641025641026,0.0,0.0,0.0,105.84615384615385,52.51282051282051,36.8974358974359,0.1794871794871795,1.1282051282051282,227.6410256410256,3.5128205128205128,112.79487179487178,10.128205128205126,46.67446080890064,83.48649512642777
9,GA,2017.0,274.4193548387097,222.4838709677419,51.32258064516129,0.5161290322580645,0.06451612903225806,0.0,0.03225806451612903,107.41935483870968,54.096774193548384,37.354838709677416,0.0,2.419354838709677,128.32258064516128,3.4838709677419355,140.06451612903226,0.12903225806451613,41.23783549848154,75.97891086867956
