State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,prcp,tmax
AK,2015.0,255.625,205.875,40.5,3.75,5.125,0.375,0.0,99.125,53.75,23.125,0.375,0.375,78.875,0.25,157.875,17.875,32.57834289339773,48.16314168896068
AL,2015.0,287.27777777777777,217.77777777777777,68.27777777777777,1.0555555555555556,0.16666666666666666,0.0,0.0,105.72222222222223,56.22222222222222,39.333333333333336,0.0,0.6111111111111112,137.55555555555554,0.3333333333333333,145.55555555555554,3.2222222222222223,46.60644574828527,242.67095951085648
AR,2015.0,270.6363636363636,231.0,39.45454545454545,0.18181818181818182,0.0,0.0,0.0,84.9090909090909,53.54545454545455,32.45454545454545,0.0,2.6363636363636362,157.72727272727272,22.545454545454547,87.72727272727273,0.0,51.021482081727825,221.49945118059986
AZ,2015.0,359.2307692307692,242.69230769230768,98.53846153846153,14.692307692307692,2.4615384615384617,0.07692307692307693,0.15384615384615385,179.15384615384616,70.92307692307692,43.61538461538461,0.0,2.769230769230769,193.76923076923077,19.692307692307693,45.07692307692308,97.92307692307692,11.82150160309005,228.33982262600043
CA,2015.0,344.1666666666667,196.37037037037038,121.33333333333333,21.296296296296298,4.62962962962963,0.24074074074074073,0.09259259259259259,242.61111111111111,84.81481481481481,49.592592592592595,0.037037037037037035,5.444444444444445,214.7037037037037,0.0,110.01851851851852,13.962962962962964,12.959826973177565,223.2225628284417
CO,2015.0,289.93548387096774,225.51612903225808,60.87096774193548,3.3225806451612905,0.16129032258064516,0.06451612903225806,0.0,109.48387096774194,54.774193548387096,35.45161290322581,0.03225806451612903,9.35483870967742,201.32258064516128,0.9032258064516129,19.612903225806452,58.70967741935484,18.435355202119023,143.1691012291847
CT,2015.0,317.625,234.125,71.75,10.5,1.25,0.0,0.0,149.5,70.5,41.0,0.25,5.875,205.75,0.0,105.375,0.375,28.789260673773015,160.3111291632819
DE,2015.0,365.0,252.0,108.66666666666667,4.0,0.3333333333333333,0.0,0.0,129.0,69.66666666666667,43.666666666666664,0.0,2.6666666666666665,254.66666666666666,0.3333333333333333,107.33333333333333,0.0,36.21722335832765,176.96537027171019
FL,2015.0,359.64102564102564,320.6923076923077,38.38461538461539,0.5641025641025641,0.0,0.0,0.0,87.02564102564102,50.30769230769231,34.51282051282051,0.02564102564102564,0.8461538461538461,232.56410256410257,9.205128205128204,106.2051282051282,10.794871794871796,41.89693285176711,287.09880579091333
GA,2015.0,295.28125,230.625,63.46875,1.0,0.15625,0.03125,0.0,111.4375,55.5625,37.8125,0.03125,5.5625,115.21875,3.625,170.84375,0.0,46.094249165822006,245.98412296064154
HI,2015.0,364.25,258.75,29.5,38.25,37.0,0.75,0.0,107.0,81.0,52.25,0.0,29.25,39.75,92.5,198.75,4.0,54.20689381461711,259.8364059678799
IA,2015.0,293.7894736842105,222.89473684210526,69.52631578947368,1.2105263157894737,0.15789473684210525,0.0,0.0,105.3157894736842,55.8421052631579,36.1578947368421,0.0,0.8947368421052632,88.10526315789474,17.894736842105264,161.1578947368421,25.736842105263158,33.99045436109303,154.5122113408294
ID,2015.0,284.0,236.47619047619048,39.476190476190474,5.428571428571429,2.2857142857142856,0.2857142857142857,0.047619047619047616,156.0,51.95238095238095,23.857142857142858,0.19047619047619047,2.4285714285714284,27.523809523809526,21.904761904761905,216.28571428571428,15.666666666666666,16.597907292182487,145.92424823647252
IL,2015.0,331.03846153846155,274.03846153846155,55.42307692307692,1.5,0.07692307692307693,0.0,0.0,101.61538461538461,53.23076923076923,34.76923076923077,0.0,2.769230769230769,201.84615384615384,52.53846153846154,72.92307692307692,0.9615384615384616,35.91915967669596,167.94417151431685
IN,2015.0,283.6222222222222,218.95555555555555,62.71111111111111,1.8,0.15555555555555556,0.0,0.0,105.73333333333333,54.46666666666667,35.17777777777778,0.06666666666666667,1.711111111111111,109.6,57.2,114.0,1.0444444444444445,36.9215468702445,169.91308183127995
KS,2015.0,310.90909090909093,267.90909090909093,42.54545454545455,0.45454545454545453,0.0,0.0,0.0,97.0,50.18181818181818,32.27272727272727,0.0,3.0,219.54545454545453,1.5454545454545454,46.09090909090909,40.72727272727273,31.31379517555155,203.69028003738447
KY,2015.0,310.67857142857144,254.39285714285714,54.535714285714285,1.6071428571428572,0.14285714285714285,0.0,0.0,101.75,55.82142857142857,38.785714285714285,0.0,3.892857142857143,198.14285714285714,10.0,97.78571428571429,0.8571428571428571,44.030385263763826,196.8827656915831
LA,2015.0,315.22727272727275,251.0909090909091,62.09090909090909,1.9090909090909092,0.13636363636363635,0.0,0.0,109.36363636363636,56.31818181818182,36.72727272727273,0.13636363636363635,4.181818181818182,189.95454545454547,2.3636363636363638,118.27272727272727,0.3181818181818182,49.388770462132484,253.7554171932312
MA,2015.0,352.15384615384613,294.15384615384613,56.0,1.9230769230769231,0.07692307692307693,0.0,0.0,119.0,54.69230769230769,36.23076923076923,0.0,9.384615384615385,226.30769230769232,0.0,116.38461538461539,0.07692307692307693,30.02136801765184,151.82041755130928
MD,2015.0,315.4375,219.875,91.875,3.5,0.1875,0.0,0.0,124.9375,68.1875,43.4375,0.0625,16.25,186.0625,0.125,112.875,0.0625,35.97771501394964,185.64564470808617
ME,2015.0,298.4166666666667,261.5833333333333,36.166666666666664,0.6666666666666666,0.0,0.0,0.0,98.83333333333333,49.0,32.75,0.0,1.9166666666666667,191.33333333333334,15.583333333333334,88.16666666666667,1.4166666666666667,33.07826035244911,117.11251804495772
MI,2015.0,289.7142857142857,232.85714285714286,54.32142857142857,2.4285714285714284,0.10714285714285714,0.0,0.0,116.35714285714286,58.607142857142854,36.67857142857143,0.0,0.42857142857142855,162.0,16.357142857142858,109.85714285714286,1.0714285714285714,24.470229568411387,130.35932193422232
MN,2015.0,316.9047619047619,281.3333333333333,34.523809523809526,1.0,0.047619047619047616,0.0,0.0,110.38095238095238,48.476190476190474,31.428571428571427,0.0,4.904761904761905,137.42857142857142,0.23809523809523808,161.33333333333334,13.0,27.63471828769279,122.74582818535838
MO,2015.0,292.7391304347826,235.8695652173913,54.130434782608695,2.652173913043478,0.08695652173913043,0.0,0.0,102.21739130434783,55.78260869565217,35.82608695652174,0.0,4.826086956521739,145.91304347826087,32.69565217391305,95.04347826086956,14.26086956521739,42.090328632658036,189.68620900240686
MS,2015.0,295.8181818181818,249.27272727272728,46.36363636363637,0.18181818181818182,0.0,0.0,0.0,87.0,51.72727272727273,35.63636363636363,0.09090909090909091,7.2727272727272725,166.0909090909091,0.8181818181818182,121.54545454545455,0.0,45.515982541564696,244.683280798529
MT,2015.0,309.89473684210526,254.73684210526315,46.1578947368421,4.526315789473684,4.315789473684211,0.15789473684210525,0.0,175.73684210526315,54.31578947368421,28.473684210526315,0.5263157894736842,1.4736842105263157,98.89473684210526,4.842105263157895,175.0,29.157894736842106,14.14320990718221,137.1934120656966
NC,2015.0,280.6,227.84444444444443,52.28888888888889,0.4666666666666667,0.0,0.0,0.0,87.44444444444444,55.71111111111111,37.733333333333334,0.022222222222222223,0.4888888888888889,155.3111111111111,11.466666666666667,113.28888888888889,0.022222222222222223,45.995936981123414,217.39264118653736
ND,2015.0,364.9,319.9,38.5,5.0,1.5,0.0,0.0,150.0,52.1,33.1,0.0,2.7,246.1,7.0,66.2,42.9,15.51541910598555,130.35781111008865
NE,2015.0,209.0,182.0909090909091,26.454545454545453,0.45454545454545453,0.0,0.0,0.0,84.36363636363636,44.54545454545455,26.09090909090909,0.09090909090909091,0.0,63.81818181818182,2.090909090909091,104.63636363636364,38.36363636363637,26.135260523991757,176.38214720723855
NH,2015.0,341.7142857142857,293.7142857142857,46.142857142857146,1.7142857142857142,0.14285714285714285,0.0,0.0,119.14285714285714,53.57142857142857,37.42857142857143,0.0,0.0,268.2857142857143,0.5714285714285714,72.85714285714286,0.0,30.62375153919825,134.5477666043031
NJ,2015.0,341.875,257.4375,77.625,6.5625,0.25,0.0,0.0,132.8125,67.375,39.625,0.0,39.3125,219.125,0.5,82.3125,0.625,32.51418789102912,177.6432897672936
NM,2015.0,273.1764705882353,221.41176470588235,50.64705882352941,1.0,0.11764705882352941,0.0,0.0,83.05882352941177,44.470588235294116,28.41176470588235,0.0,5.352941176470588,173.2941176470588,6.705882352941177,63.8235294117647,24.0,15.077754926717517,194.69649080303398
NV,2015.0,336.3333333333333,250.88888888888889,79.66666666666667,5.333333333333333,0.4444444444444444,0.0,0.0,133.22222222222223,64.77777777777777,39.55555555555556,0.0,2.5555555555555554,194.77777777777777,0.0,70.33333333333333,68.66666666666667,10.351501875554792,175.87624177667888
NY,2015.0,353.7931034482759,297.48275862068965,53.62068965517241,2.689655172413793,0.0,0.0,0.0,111.72413793103448,54.758620689655174,35.724137931034484,0.06896551724137931,8.931034482758621,240.51724137931035,4.482758620689655,99.79310344827586,0.0,29.926835689265577,142.057729216152
OH,2015.0,317.390243902439,244.1951219512195,70.3170731707317,2.8292682926829267,0.04878048780487805,0.0,0.0,109.73170731707317,58.97560975609756,36.73170731707317,0.1951219512195122,5.634146341463414,149.0,38.46341463414634,116.1951219512195,7.902439024390244,32.37189192201592,165.86460157618214
OK,2015.0,305.7826086956522,257.5217391304348,47.91304347826087,0.30434782608695654,0.043478260869565216,0.0,0.0,96.95652173913044,52.608695652173914,35.56521739130435,0.0,5.260869565217392,202.2173913043478,3.739130434782609,74.30434782608695,20.26086956521739,40.76135136958575,225.36231632031996
OR,2015.0,345.95652173913044,282.6521739130435,56.47826086956522,4.478260869565218,2.3043478260869565,0.043478260869565216,0.0,165.47826086956522,60.73913043478261,28.869565217391305,0.0,2.3043478260869565,57.73913043478261,0.0,285.7391304347826,0.17391304347826086,31.42211967946915,164.60807013061668
PA,2015.0,361.13157894736844,248.71052631578948,107.44736842105263,4.7894736842105265,0.18421052631578946,0.0,0.0,118.97368421052632,66.97368421052632,42.21052631578947,0.0,2.289473684210526,216.89473684210526,12.31578947368421,127.76315789473684,1.868421052631579,31.474435784317635,160.26817211104958
RI,2015.0,361.0,286.3333333333333,69.66666666666667,4.0,1.0,0.0,0.0,161.0,58.666666666666664,39.666666666666664,0.0,20.666666666666668,195.66666666666666,0.0,144.33333333333334,0.3333333333333333,31.852914448916007,156.6694192127718
