State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,prcp,tmax
AK,2017.0,267.7142857142857,227.85714285714286,32.42857142857143,4.428571428571429,3.0,0.0,0.0,90.57142857142857,50.714285714285715,22.0,0.8571428571428571,1.4285714285714286,98.57142857142857,0.0,141.28571428571428,25.571428571428573,30.4071223343965,46.2976948182667
AL,2017.0,289.0,228.83333333333334,58.888888888888886,1.1666666666666667,0.05555555555555555,0.05555555555555555,0.0,104.66666666666667,54.5,38.166666666666664,0.0,0.1111111111111111,153.44444444444446,10.88888888888889,121.5,3.0555555555555554,49.10192743662578,244.1475549585389
AR,2017.0,274.6363636363636,226.36363636363637,48.09090909090909,0.18181818181818182,0.0,0.0,0.0,84.0909090909091,53.18181818181818,37.0,0.0,0.8181818181818182,141.54545454545453,0.0,132.27272727272728,0.0,39.17681709533316,228.9631706418154
AZ,2017.0,360.84615384615387,219.53846153846155,118.15384615384616,20.153846153846153,2.769230769230769,0.15384615384615385,0.07692307692307693,151.76923076923077,74.38461538461539,47.15384615384615,0.0,1.5384615384615385,193.69230769230768,19.76923076923077,30.76923076923077,115.07692307692308,8.722522074800056,239.1104816613943
CA,2017.0,356.0377358490566,203.79245283018867,118.50943396226415,25.20754716981132,6.962264150943396,1.0188679245283019,0.20754716981132076,286.6792452830189,88.56603773584905,49.18867924528302,0.0,3.830188679245283,214.0566037735849,0.018867924528301886,120.18867924528301,17.943396226415093,27.422403385604618,218.10302492590975
CO,2017.0,294.9,219.03333333333333,72.4,3.3666666666666667,0.1,0.0,0.0,97.46666666666667,56.13333333333333,34.833333333333336,0.0,7.233333333333333,205.96666666666667,0.1,25.1,56.5,14.96077874650597,148.16469280040212
CT,2017.0,322.375,271.5,43.875,5.625,1.375,0.0,0.0,151.5,57.0,38.375,0.25,13.125,230.25,0.0,78.375,0.375,33.32724261976817,160.15
DE,2017.0,363.6666666666667,284.3333333333333,75.0,4.333333333333333,0.0,0.0,0.0,122.33333333333333,61.0,41.333333333333336,0.0,2.0,248.66666666666666,0.3333333333333333,112.66666666666667,0.0,33.73030923391876,182.64579901153212
FL,2017.0,355.38461538461536,307.0,47.282051282051285,1.1025641025641026,0.0,0.0,0.0,105.84615384615384,52.51282051282051,36.8974358974359,0.1794871794871795,1.1282051282051282,227.64102564102564,3.5128205128205128,112.7948717948718,10.128205128205128,46.67446080890064,286.03608403570985
GA,2017.0,274.4193548387097,222.48387096774192,51.32258064516129,0.5161290322580645,0.06451612903225806,0.0,0.03225806451612903,107.41935483870968,54.096774193548384,37.354838709677416,0.0,2.4193548387096775,128.32258064516128,3.4838709677419355,140.06451612903226,0.12903225806451613,41.23783549848154,244.3272826037753
HI,2017.0,364.25,266.25,22.75,33.0,41.75,0.5,0.0,127.0,76.75,52.5,0.25,20.25,64.25,106.0,173.5,0.0,42.351464521452144,261.43579623680586
IA,2017.0,277.6111111111111,210.11111111111111,67.33333333333333,0.16666666666666666,0.0,0.0,0.0,85.22222222222223,55.0,35.77777777777778,0.0,0.2777777777777778,84.88888888888889,7.888888888888889,165.0,19.555555555555557,26.005724528195646,158.51740396906894
ID,2017.0,330.95238095238096,259.23809523809524,59.57142857142857,7.9523809523809526,3.0476190476190474,1.0952380952380953,0.047619047619047616,192.0,61.57142857142857,27.333333333333332,0.14285714285714285,0.7142857142857143,36.61904761904762,20.238095238095237,268.3333333333333,4.904761904761905,21.393496493733824,131.94604040207312
IL,2017.0,343.0740740740741,279.1111111111111,61.44444444444444,2.4814814814814814,0.037037037037037035,0.0,0.0,103.37037037037037,53.074074074074076,35.0,0.0,2.3333333333333335,198.55555555555554,63.629629629629626,78.33333333333333,0.2222222222222222,30.174130254110196,177.64995329880276
IN,2017.0,301.390243902439,253.0487804878049,46.926829268292686,1.3902439024390243,0.024390243902439025,0.0,0.0,97.39024390243902,52.292682926829265,35.51219512195122,0.04878048780487805,0.8536585365853658,165.4390243902439,30.414634146341463,103.70731707317073,0.926829268292683,35.90852212649611,178.25525198025485
KS,2017.0,323.0,283.3636363636364,39.36363636363637,0.18181818181818182,0.09090909090909091,0.0,0.0,93.9090909090909,48.09090909090909,32.18181818181818,0.0,1.2727272727272727,204.36363636363637,0.0,53.90909090909091,63.45454545454545,28.02058675579834,207.2507036416694
KY,2017.0,313.2142857142857,262.85714285714283,49.785714285714285,0.5714285714285714,0.0,0.0,0.0,91.75,52.92857142857143,39.07142857142857,0.0,2.0357142857142856,196.25,10.5,103.64285714285714,0.7857142857142857,37.93948634546317,203.28911677141912
LA,2017.0,329.6521739130435,281.30434782608694,47.26086956521739,1.0869565217391304,0.0,0.0,0.0,102.78260869565217,52.17391304347826,35.0,0.043478260869565216,4.3478260869565215,207.3913043478261,16.695652173913043,100.95652173913044,0.21739130434782608,49.08999117340252,256.3007016260433
MA,2017.0,361.53846153846155,313.84615384615387,44.61538461538461,2.8461538461538463,0.23076923076923078,0.0,0.0,129.6153846153846,51.76923076923077,37.46153846153846,0.0,6.0,263.0,0.0,92.53846153846153,0.0,34.818503592544474,151.98987641935338
MD,2017.0,327.52941176470586,260.4117647058824,61.76470588235294,5.0,0.35294117647058826,0.0,0.0,122.3529411764706,63.11764705882353,39.76470588235294,0.058823529411764705,11.764705882352942,202.52941176470588,20.823529411764707,91.17647058823529,1.1764705882352942,32.84210711955276,189.36105324556286
