,State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,prcp,tmax
0,AK,2014.0,274.125,218.125,43.625,5.875,6.25,0.25,0.0,133.0,59.0,23.5,1.125,2.0,68.125,0.25,163.875,38.75,31.60494506197316,41.9569432292578
1,AL,2014.0,260.44444444444446,213.44444444444446,46.111111111111114,0.8888888888888888,0.0,0.0,0.0,93.33333333333331,55.66666666666666,38.16666666666666,0.0,0.3888888888888889,173.05555555555554,0.1111111111111111,83.6111111111111,3.2777777777777777,44.65190262834064,73.63271710150448
2,AR,2014.0,272.3636363636364,230.27272727272728,41.81818181818182,0.2727272727272727,0.0,0.0,0.0,89.63636363636364,55.45454545454545,33.36363636363637,0.0,2.9090909090909087,157.8181818181818,22.54545454545455,89.0909090909091,0.0,37.03480760654902,69.28452631308329
3,AZ,2014.0,357.3076923076923,217.0769230769231,115.84615384615385,19.46153846153846,3.5384615384615383,0.4615384615384616,0.2307692307692308,207.53846153846158,77.84615384615384,46.230769230769226,0.0,1.6923076923076923,180.3076923076923,19.53846153846154,34.30769230769231,121.46153846153848,10.227855975410435,74.08815621324733
4,CA,2014.0,344.4444444444445,193.7592592592593,121.07407407407408,23.777777777777782,5.407407407407407,0.1851851851851852,0.0925925925925926,210.6296296296296,84.2037037037037,48.88888888888889,0.0,5.0,207.44444444444446,0.018518518518518517,117.83333333333331,14.148148148148149,19.612324384013625,72.98762677359655
5,CO,2014.0,302.23333333333335,234.8,64.3,2.8666666666666667,0.2333333333333333,0.03333333333333333,0.0,105.03333333333332,56.6,36.6,0.03333333333333333,7.5,214.86666666666667,1.0666666666666669,19.4,59.36666666666667,15.695419823705704,56.868257498364734
6,CT,2014.0,316.125,235.5,73.625,6.625,0.375,0.0,0.0,132.25,68.375,41.875,0.0,6.0,202.375,0.0,107.75,0.0,34.34239164622256,58.34830958705627
7,DE,2014.0,364.66666666666674,253.66666666666663,106.33333333333331,4.0,0.6666666666666666,0.0,0.0,121.66666666666669,67.33333333333333,44.66666666666666,0.0,2.333333333333333,218.33333333333331,0.3333333333333333,143.66666666666666,0.0,32.8764319875431,63.469849383843
8,FL,2014.0,357.53846153846155,305.46153846153845,50.794871794871796,1.2307692307692308,0.05128205128205128,0.0,0.0,103.15384615384615,53.43589743589744,36.230769230769226,0.0,0.8974358974358975,237.82051282051282,12.564102564102564,98.84615384615385,7.410256410256411,45.18077127475219,81.70910077269801
9,GA,2014.0,294.4375,210.125,82.875,1.40625,0.03125,0.0,0.0,104.625,58.96875,41.03125,0.03125,4.84375,104.4375,4.125,181.0,0.0,38.162898955305494,73.78881588112375
10,HI,2014.0,350.75,258.0,25.0,35.0,32.5,0.25,0.0,151.5,78.5,48.75,0.0,9.25,57.25,93.0,187.25,4.0,48.35312480995723,78.74679848297609
11,IA,2014.0,292.63157894736844,208.15789473684208,80.21052631578948,3.947368421052632,0.3157894736842105,0.0,0.0,104.10526315789473,60.73684210526316,37.68421052631579,0.0,1.5789473684210529,83.52631578947368,22.105263157894736,159.8421052631579,25.578947368421048,31.118559201971777,55.99375786067526
12,ID,2014.0,332.54545454545456,282.54545454545456,45.36363636363637,4.181818181818182,0.4545454545454545,0.0,0.0,123.63636363636364,48.54545454545455,25.09090909090909,0.09090909090909093,6.0,55.0,45.54545454545455,161.27272727272728,64.63636363636364,19.865956259641372,56.55234501463289
13,IL,2014.0,327.53846153846155,267.03846153846155,57.80769230769231,2.5384615384615383,0.15384615384615385,0.0,0.0,105.30769230769229,55.846153846153854,34.384615384615394,0.0,2.769230769230769,212.3076923076923,53.153846153846146,57.615384615384606,1.6923076923076923,32.312454146992984,59.148350402340895
14,IN,2014.0,279.1555555555556,202.42222222222225,73.26666666666667,3.311111111111111,0.15555555555555556,0.0,0.0,110.26666666666668,59.68888888888889,37.28888888888889,0.022222222222222227,2.8222222222222224,102.35555555555555,59.33333333333334,113.8,0.8222222222222222,34.282114156692316,59.52660809371672
15,KS,2014.0,285.6666666666667,237.75,46.75,1.0833333333333333,0.08333333333333333,0.0,0.0,100.83333333333331,49.83333333333334,32.416666666666664,0.0,4.0,193.58333333333331,1.4166666666666667,46.25,40.41666666666666,24.48077348785728,66.48178331669364
16,KY,2014.0,305.55172413793105,246.48275862068962,57.620689655172406,1.4137931034482758,0.03448275862068965,0.0,0.0,95.89655172413794,56.862068965517246,38.586206896551715,0.03448275862068965,4.931034482758621,198.3793103448276,14.551724137931034,85.72413793103449,1.9310344827586208,35.654766431109294,65.30635300826918
17,LA,2014.0,335.1363636363636,260.1363636363636,72.36363636363636,2.5454545454545454,0.09090909090909093,0.0,0.0,113.77272727272728,58.09090909090909,38.31818181818182,0.0,4.7727272727272725,198.13636363636363,2.3181818181818183,129.63636363636363,0.2727272727272727,41.94471997256444,75.31167720210316
18,MA,2014.0,361.3846153846154,296.76923076923083,64.30769230769229,0.3076923076923077,0.0,0.0,0.0,95.23076923076924,54.69230769230769,38.46153846153846,0.0,5.307692307692308,232.15384615384616,0.07692307692307693,123.3846153846154,0.4615384615384616,36.01801391419579,57.93848099065826
19,MD,2014.0,310.625,228.75,80.4375,1.4375,0.0,0.0,0.0,107.25,63.625,43.0625,0.0625,6.6875,185.4375,0.3125,118.125,0.0,36.41747449672942,63.37120291993476
