,State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,prcp,tmax
0,AK,2013.0,284.25,244.0,31.875,4.75,3.625,0.0,0.0,108.0,51.25,20.375,2.5,0.0,52.75,0.125,176.625,52.25,31.90242104737157,39.40061708165817
1,AL,2013.0,265.1666666666667,224.88888888888889,40.111111111111114,0.16666666666666666,0.0,0.0,0.0,86.05555555555556,52.77777777777778,37.16666666666666,0.0,0.05555555555555555,173.16666666666663,4.666666666666667,84.05555555555556,3.2222222222222223,50.483504961617676,73.39723721121172
2,AR,2013.0,268.6363636363636,215.0909090909091,53.09090909090909,0.4545454545454545,0.0,0.0,0.0,93.1818181818182,57.63636363636363,34.90909090909091,0.0,2.727272727272727,155.54545454545453,21.818181818181817,88.54545454545455,0.0,41.627675748908615,70.11220978910508
3,AZ,2013.0,346.6153846153846,208.6923076923077,116.6153846153846,17.0,3.3076923076923075,0.6153846153846154,0.2307692307692308,240.84615384615384,78.07692307692308,46.46153846153846,0.0,1.7692307692307692,180.3076923076923,18.384615384615387,31.07692307692308,115.07692307692308,9.707862138506364,72.61882976424697
4,CA,2013.0,346.18518518518516,190.94444444444446,127.14814814814815,22.722222222222218,5.0,0.2037037037037037,0.1111111111111111,219.2037037037037,87.03703703703705,49.425925925925924,0.2037037037037037,5.2407407407407405,193.7962962962963,0.16666666666666666,128.33333333333334,18.444444444444443,6.471974722435584,71.4073447500123
5,CO,2013.0,304.3333333333333,215.83333333333331,80.73333333333333,7.033333333333332,0.6,0.1,0.0,164.83333333333334,67.16666666666667,39.63333333333333,0.1,8.333333333333334,219.33333333333331,1.0333333333333334,17.4,58.13333333333333,16.015466682128515,56.235475315478
6,CT,2013.0,315.0,213.375,91.75,8.0,1.875,0.0,0.0,156.75,70.75,44.0,0.0,5.75,175.25,0.125,133.875,0.0,32.27060055865922,60.394889286513084
7,DE,2013.0,362.33333333333326,264.6666666666667,94.0,3.6666666666666665,0.0,0.0,0.0,123.0,63.33333333333334,42.0,0.0,2.0,229.66666666666663,0.3333333333333333,130.33333333333334,0.0,35.19108489019993,63.48291244239632
8,FL,2013.0,354.2894736842105,311.3157894736842,42.10526315789474,0.8421052631578947,0.0,0.02631578947368421,0.0,101.44736842105264,51.026315789473685,34.921052631578945,0.0,0.34210526315789475,225.0,5.552631578947367,113.60526315789473,9.789473684210526,42.684618868519,82.07368341482244
9,GA,2013.0,297.5,226.96875,69.28125,1.21875,0.03125,0.0,0.0,99.3125,56.8125,38.5625,0.03125,4.34375,109.96875,3.625,179.46875,0.0625,50.04610168033492,73.37764260020555
10,HI,2013.0,364.25,260.5,27.75,36.0,39.75,0.25,0.0,105.0,82.25,53.5,1.25,15.75,35.25,91.5,219.75,0.75,38.61049415844445,78.06054902612235
11,IA,2013.0,291.89473684210526,205.94736842105263,82.0,3.736842105263158,0.21052631578947367,0.0,0.0,103.15789473684212,60.526315789473685,39.473684210526315,0.0,0.4736842105263158,89.7894736842105,18.473684210526315,159.68421052631578,23.47368421052632,27.12484372030686,57.02907890740478
12,ID,2013.0,282.7142857142857,231.07142857142856,45.28571428571429,4.857142857142857,1.5,0.0,0.0,122.85714285714286,51.07142857142857,24.214285714285715,0.14285714285714285,5.928571428571429,38.357142857142854,33.214285714285715,157.14285714285714,47.92857142857143,14.01261927074459,55.61843479912623
13,IL,2013.0,328.34615384615387,270.0,55.769230769230774,2.3461538461538463,0.2307692307692308,0.0,0.0,103.1153846153846,55.269230769230774,34.57692307692308,0.07692307692307693,3.0,226.88461538461542,47.384615384615394,50.153846153846146,0.8461538461538461,31.773232704852433,60.75338062593144
14,IN,2013.0,282.92857142857144,209.57142857142856,71.14285714285714,2.095238095238096,0.11904761904761905,0.0,0.0,104.9761904761905,57.523809523809526,37.42857142857143,0.3333333333333333,2.452380952380953,114.11904761904762,63.452380952380956,101.54761904761904,1.0238095238095235,35.013253472664715,60.938464551934274
15,KS,2013.0,277.61538461538464,231.38461538461542,45.30769230769231,0.9230769230769232,0.0,0.0,0.0,88.23076923076924,50.07692307692307,32.46153846153846,0.15384615384615385,3.615384615384616,188.61538461538458,0.9230769230769232,44.846153846153854,39.46153846153846,27.215732040786772,66.18716383412644
16,KY,2013.0,308.72413793103453,256.9310344827586,51.06896551724138,0.7241379310344828,0.0,0.0,0.0,94.03448275862068,53.137931034482754,38.0,0.0,4.0344827586206895,197.24137931034485,13.965517241379311,90.79310344827586,2.689655172413793,42.066053490864675,65.48955682563479
17,LA,2013.0,340.8181818181818,265.3636363636364,72.63636363636364,2.5454545454545454,0.2727272727272727,0.0,0.0,118.22727272727272,57.86363636363637,38.77272727272727,0.0,2.772727272727273,208.72727272727272,3.5,125.54545454545456,0.2727272727272727,45.268657468022965,76.12354018946056
18,MA,2013.0,341.5,272.25,65.25,3.9166666666666665,0.08333333333333333,0.0,0.0,120.08333333333331,57.91666666666666,38.41666666666666,0.0,4.333333333333333,205.16666666666663,1.5,130.08333333333334,0.4166666666666667,33.034321241782024,59.00803633107331
19,MD,2013.0,312.53333333333336,232.8,76.93333333333334,2.8,0.0,0.0,0.0,116.86666666666666,64.46666666666667,42.06666666666667,0.0,5.7333333333333325,194.33333333333331,0.13333333333333333,112.2,0.13333333333333333,35.71377002067781,63.91264201580439
20,ME,2013.0,306.6363636363636,278.1818181818182,26.272727272727273,2.1818181818181817,0.0,0.0,0.0,117.45454545454544,49.36363636363637,34.72727272727273,0.0,12.545454545454545,240.54545454545453,0.5454545454545454,50.63636363636363,2.363636363636364,34.61142304688953,53.5587144385816
21,MI,2013.0,264.92857142857144,211.25,51.39285714285714,2.25,0.03571428571428571,0.0,0.0,111.92857142857143,61.03571428571429,36.357142857142854,0.0,1.1785714285714286,178.96428571428572,20.357142857142858,63.64285714285714,0.7857142857142857,29.306270208957862,54.01001094930472
22,MN,2013.0,305.8,256.05,49.45,0.3,0.0,0.0,0.0,89.0,54.2,33.95,0.05,7.85,138.55,0.25,151.0,8.1,24.827475337408465,49.86307046802602
23,MO,2013.0,294.72727272727275,213.63636363636363,76.18181818181819,4.727272727272728,0.18181818181818185,0.0,0.0,115.36363636363636,65.22727272727273,41.09090909090909,0.0,2.363636363636364,154.9090909090909,28.0,99.1818181818182,10.272727272727273,34.91186355949329,64.01003398558188
24,MS,2013.0,312.2,266.0,45.6,0.6,0.0,0.0,0.0,98.8,53.4,37.3,0.0,10.4,193.3,2.6,105.9,0.0,47.399506523434326,73.86916892382904
25,MT,2013.0,299.3157894736842,252.84210526315792,43.78947368421053,2.3157894736842106,0.3684210526315789,0.0,0.0,93.05263157894736,48.842105263157904,28.210526315789476,0.0,0.8947368421052632,106.42105263157896,11.052631578947368,161.68421052631578,19.263157894736842,16.474534484251855,54.081646415241
26,NC,2013.0,286.63829787234044,241.12765957446808,45.19148936170214,0.2978723404255319,0.02127659574468085,0.0,0.0,90.93617021276596,52.38297872340426,36.29787234042553,0.0,0.3404255319148936,142.3404255319149,11.48936170212766,132.31914893617022,0.14893617021276595,44.73144566572624,68.65035100164577
27,ND,2013.0,363.4444444444445,320.77777777777777,40.555555555555564,1.2222222222222223,0.8888888888888888,0.0,0.0,93.55555555555556,52.444444444444436,37.111111111111114,0.0,3.4444444444444446,275.8888888888889,10.444444444444443,64.66666666666667,9.0,20.423257915145125,49.624680403946066
28,NE,2013.0,205.3636363636364,172.54545454545453,32.18181818181818,0.6363636363636364,0.0,0.0,0.0,82.9090909090909,49.63636363636363,27.09090909090909,0.0,0.0,64.0,1.9090909090909087,95.63636363636364,43.81818181818182,19.591306534171935,60.90665058912699
29,NH,2013.0,343.14285714285717,284.85714285714283,57.0,1.2857142857142858,0.0,0.0,0.0,103.28571428571428,57.0,36.857142857142854,0.0,0.0,247.7142857142857,18.142857142857142,77.28571428571429,0.0,32.64527498521585,56.16045427375972
30,NJ,2013.0,338.8125,262.625,72.9375,3.0625,0.1875,0.0,0.0,123.3125,61.875,39.125,0.0625,28.125,209.3125,1.375,99.8125,0.125,35.50095199319833,62.81277411147333
31,NM,2013.0,275.5555555555556,205.44444444444446,65.16666666666667,3.6666666666666665,0.7222222222222222,0.1111111111111111,0.3888888888888889,139.5,56.88888888888889,33.5,0.0,2.555555555555556,189.33333333333331,1.4444444444444444,64.3888888888889,17.833333333333332,10.860899951615503,66.6301631828674
32,NV,2013.0,289.5,202.2,75.8,6.8,2.6,0.7,0.0,209.7,63.8,37.5,0.0,0.8,141.4,0.0,59.1,88.2,5.868632075471697,62.27293235724744
33,NY,2013.0,356.55172413793105,304.58620689655174,50.44827586206897,1.4137931034482758,0.10344827586206896,0.0,0.0,106.55172413793105,53.31034482758621,35.413793103448285,0.7931034482758621,9.965517241379311,244.55172413793102,3.4137931034482767,97.82758620689656,0.0,32.63063069717967,56.811435683404774
34,OH,2013.0,315.4390243902439,235.97560975609755,76.87804878048779,2.5121951219512195,0.07317073170731707,0.0,0.0,111.53658536585364,57.585365853658544,37.29268292682927,0.7560975609756098,0.4146341463414634,135.75609756097558,44.90243902439025,126.02439024390243,7.585365853658537,31.377833729034233,60.56655210123418
35,OK,2013.0,306.69565217391306,228.65217391304347,74.56521739130434,3.4782608695652173,0.0,0.0,0.0,110.34782608695652,63.34782608695652,39.39130434782609,0.0,3.695652173913044,210.5217391304348,3.391304347826087,73.0,16.08695652173913,28.3453941986303,71.06430820756836
36,OR,2013.0,345.25,264.75,72.54166666666667,5.75,1.9166666666666667,0.20833333333333331,0.08333333333333333,135.45833333333334,65.375,31.66666666666667,0.0,0.2916666666666667,50.41666666666666,0.0,294.5,0.04166666666666666,22.26352616142304,58.867717647058825
37,PA,2013.0,360.46153846153845,252.20512820512818,103.43589743589745,4.717948717948718,0.10256410256410256,0.0,0.0,124.79487179487178,64.38461538461539,41.82051282051282,0.02564102564102564,2.2051282051282053,214.25641025641025,13.333333333333336,128.53846153846158,2.102564102564102,31.702810566871843,59.640619504780965
38,RI,2013.0,362.33333333333326,291.3333333333333,64.0,6.666666666666668,0.3333333333333333,0.0,0.0,154.0,57.66666666666666,39.333333333333336,0.0,1.3333333333333333,208.33333333333331,0.0,152.33333333333334,0.3333333333333333,32.782719186785265,59.85995049504951
39,SC,2013.0,296.2105263157895,255.31578947368425,40.78947368421053,0.10526315789473684,0.0,0.0,0.0,84.05263157894737,50.47368421052632,33.736842105263165,0.05263157894736842,3.1578947368421053,149.6315789473684,14.526315789473687,108.7894736842105,20.05263157894737,45.4384538307384,72.60495486644152
40,SD,2013.0,335.4444444444445,273.6666666666667,61.66666666666666,0.1111111111111111,0.0,0.0,0.0,90.11111111111113,56.111111111111114,37.444444444444436,0.0,2.6666666666666665,187.0,0.1111111111111111,116.0,29.66666666666667,22.457714015675016,55.53527285168501
41,TN,2013.0,268.64,215.92,52.08,0.64,0.0,0.0,0.0,88.28,55.08,38.4,0.08,4.28,150.36,5.52,93.64,14.76,48.082217699796495,67.20226768157312
42,TX,2013.0,344.1627906976744,263.04651162790697,74.97674418604652,5.697674418604652,0.4418604651162791,0.0,0.0,126.25581395348836,65.11627906976744,38.58139534883721,0.04651162790697674,3.3720930232558137,205.93023255813952,1.3255813953488371,132.41860465116278,1.069767441860465,25.48633943142545,77.91642570104882
43,UT,2013.0,331.26666666666665,208.0,100.8,14.733333333333333,6.133333333333334,1.6,0.0,141.93333333333334,85.73333333333333,44.73333333333333,0.0,21.66666666666667,238.06666666666663,0.6666666666666666,70.2,0.6666666666666666,12.223512543667171,56.77344344202963
44,VA,2013.0,248.94444444444446,221.58333333333331,26.972222222222218,0.3888888888888889,0.0,0.0,0.0,84.22222222222223,46.444444444444436,31.194444444444446,0.7777777777777778,32.75,136.30555555555554,2.75,67.25,9.111111111111109,38.81573134271514,65.57661899679829
45,VT,2013.0,302.25,253.75,47.25,1.25,0.0,0.0,0.0,103.75,50.75,30.25,0.0,4.0,136.0,0.25,162.0,0.0,34.504311251314405,54.02821204985354
46,WA,2013.0,346.62068965517244,285.3448275862069,59.17241379310346,1.7931034482758617,0.27586206896551724,0.0,0.0,112.0,56.206896551724135,27.448275862068964,0.10344827586206896,0.10344827586206896,41.586206896551715,0.0,299.3793103448276,5.448275862068965,25.895024994049034,56.15153542877246
47,WI,2013.0,253.96969696969697,197.48484848484853,53.93939393939394,2.515151515151515,0.0,0.030303030303030307,0.0,96.84848484848484,58.27272727272727,34.45454545454545,0.0,0.24242424242424246,152.33333333333334,12.363636363636365,82.15151515151516,6.878787878787879,27.193626900968393,52.49303745164694
48,WV,2013.0,286.3333333333333,240.26666666666668,45.33333333333334,0.7333333333333333,0.0,0.0,0.0,98.46666666666668,54.46666666666667,35.4,0.06666666666666668,0.0,140.46666666666667,41.4,94.8,9.6,33.740692985746435,62.02138956845093
49,WY,2013.0,319.0,258.0,60.0,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,109.77777777777777,53.5,36.77777777777778,0.0,3.8333333333333335,246.88888888888889,3.6666666666666665,20.38888888888889,44.22222222222222,13.533767095639801,52.97754225057032
